Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,material_columns,material_floor1,material_floor2,material_roof,material_walls,material_balcony,cost_per_sqm,co2_per_sqm,comfort_score,constructability_score,safety_factor,total_cost,floor_area,design_pattern,evaluation_status,evaluation_time_s,fcstd_path
8.45,8.31,3.36,2.88,566,539,637,993,412,11.7,0.37,0.97,-0.13,2.9,0,1,1,0,0,1,1552173.994884727,2000.0,6.245092929127214,5.08,1.789716007121355,108992881.83380808,70.2195,小型_超重構造_標準天井_混合構造,success,3.6900079250335693,fcstd_outputs/sample20.FCStd
8.35,10.95,2.79,3.18,554,355,536,419,320,-3.5,0.69,0.77,0.21,1.2,1,1,0,1,1,1,429018.79090186936,459.9607729699304,6.2394625950677405,6.4,1.032996551594772,39226260.59913517,91.43249999999999,小型_超重構造_標準天井_木造中心,success,3.5397441387176514,fcstd_outputs/sample21.FCStd
11.8,10.0,3.3,2.94,419,357,768,517,338,26.7,0.28,0.71,0.24,2.4,0,0,0,0,1,1,796582.5745598311,1742.9554037918715,5.859611478595465,3.58,2.2225903135246625,93996743.79806006,118.0,中型_重構造_標準天井_混合構造,success,5.121445178985596,fcstd_outputs/sample22.FCStd
9.69,10.07,3.43,2.78,389,475,806,823,402,22.8,0.9,0.37,0.27,2.7,0,0,0,1,1,0,1004379.4970850897,1268.1754560697236,6.400697644974561,4.97,2.1158695213683787,98005643.880418,97.5783,小型_超重構造_標準天井_混合構造,success,3.6218008995056152,fcstd_outputs/sample23.FCStd
9.69,9.29,3.5,2.8,404,579,567,622,450,22.3,0.59,0.51,0.05,1.2,1,0,1,0,1,1,601629.225946873,708.9018153435151,6.054525192105914,5.52,1.3517658235442047,54158723.08266009,90.02009999999999,小型_超重構造_標準天井_木造中心,success,3.7666311264038086,fcstd_outputs/sample24.FCStd
9.56,11.34,3.45,2.7,591,417,574,411,483,28.9,0.54,0.91,0.29,1.8,1,1,1,1,0,0,844687.260106511,1380.802357013979,5.65898926939998,3.8600000000000003,0.8289876614758833,91572883.7430509,108.41040000000001,中型_超重構造_標準天井_木造中心,success,4.963104963302612,fcstd_outputs/sample25.FCStd
11.83,8.13,2.69,2.7,478,445,787,638,335,6.5,0.52,0.97,0.42,3.4,0,0,0,1,0,1,1454233.1913999827,2000.0000000000002,6.189615292172825,5.6,1.223477129103727,139865094.4591484,96.17790000000001,小型_超重構造_低天井_混合構造,success,4.418251991271973,fcstd_outputs/sample26.FCStd
9.39,9.73,2.96,2.71,407,444,701,818,347,17.2,0.44,0.46,0.12,1.5,0,0,0,0,0,1,1001977.7494571565,1817.5714874301336,5.735357613626256,6.029999999999999,2.5915685239013926,91545396.48582828,91.36470000000001,小型_超重構造_標準天井_RC中心,success,3.589292049407959,fcstd_outputs/sample27.FCStd
11.94,8.62,2.72,3.05,412,441,761,536,363,-11.9,0.28,0.65,-0.22,2.6,0,0,0,0,1,0,802878.0978944781,1545.391405646859,6.066307265396914,6.0600000000000005,1.4891606607435453,82634461.89397378,102.92279999999998,中型_超重構造_標準天井_RC中心,success,4.099699020385742,fcstd_outputs/sample28.FCStd
10.78,11.24,3.44,3.11,470,450,923,609,443,16.3,0.16,0.97,-0.29,1.8,1,1,1,0,0,1,1581697.5685776991,1883.3600736465878,6.059898020326066,5.119999999999999,1.1809909767751525,191649865.63136777,121.1672,中型_超重構造_標準天井_木造中心,success,5.510206937789917,fcstd_outputs/sample29.FCStd
10.5,10.17,3.29,2.82,562,392,565,488,390,10.2,0.72,0.27,0.08,2.1,0,0,1,0,0,1,692015.2858809943,1308.639202890354,6.847405865856272,6.23,1.152189459005468,73896852.30280197,106.785,中型_超重構造_標準天井_混合構造,success,3.7923688888549805,fcstd_outputs/sample30.FCStd
8.43,9.76,3.41,2.98,568,412,478,562,389,3.7,0.77,0.14,0.39,2.3,1,1,0,1,1,0,422410.60752269503,395.2141082862166,6.954034064119381,7.380000000000001,1.3386417934013208,34754593.073023275,82.2768,小型_超重構造_標準天井_木造中心,success,3.355423927307129,fcstd_outputs/sample31.FCStd
