Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,cost_per_sqm,co2_per_sqm,comfort_score,constructability_score,safety_factor,total_cost,floor_area,design_pattern,evaluation_status,evaluation_time_s,fcstd_path
9.15,12.42,3.23,3.66,367,331,786,573,242,17.2,0.32,0.43,0.31,3.2,616923.3834,2158.451049,6.825835201,5.53,1.063302338,70109024.05,113.643,中型_重構造_標準天井,success,12.50157213,fcstd_outputs/sample120.FCStd
11.82,11.66,3.99,3.39,280,342,877,381,302,7.4,0.54,0.13,0.14,1.8,482482.2369,1402.882831,6.5341985,7.51,1.138258528,66496280.86,137.8212,中型_重構造_高天井,success,11.13533378,fcstd_outputs/sample121.FCStd
10.51,11.33,4.17,3.26,361,187,718,676,164,22.2,0.54,0.43,0.13,2.3,595137.9362,2131.29001,6.533955,5.03,2.092384913,70868013.71,119.0783,中型_重構造_高天井,success,11.53108692,fcstd_outputs/sample122.FCStd
14.76,9.91,3.65,3.29,309,271,385,655,241,16.8,0.62,0.33,-0.14,2.6,617623.5813,2403.129717,7.6340275,5.57,1.027144808,90340789.43,146.2716,中型_重構造_標準天井,success,18.01188779,fcstd_outputs/sample123.FCStd
12.09,12.18,3.63,3.71,348,167,598,604,339,-3.9,0.68,0.16,0.13,1.3,494545.5732,1557.821624,6.9204295,7.86,1.20035679,72824901.84,147.2562,中型_重構造_高天井,success,13.29195786,fcstd_outputs/sample124.FCStd
11.52,9.86,3.56,3.77,325,207,625,343,184,-1,0.16,0.21,0.33,2.5,480903.9084,1655.294732,6.28293025,7.15,1.1396968,54624528.43,113.5872,中型_重構造_高天井,success,10.80400276,fcstd_outputs/sample125.FCStd
8.55,8.68,3.75,3.74,421,246,375,337,198,21,0.28,0.28,0.04,2,548439.7949,1977.947887,6.126141875,5.15,1.039930727,40701910.94,74.214,小型_重構造_高天井,success,6.77775526,fcstd_outputs/sample126.FCStd
11.22,14.18,3.8,3.49,292,259,672,523,272,-25.5,0.34,0.2,-0.3,2.1,487784.7892,1421.692083,6.80716,4.7,1.953210602,77606364.86,159.0996,中型_重構造_高天井,success,18.00187898,fcstd_outputs/sample127.FCStd
11.52,11.63,3.08,2.61,451,305,826,447,274,18.3,0.44,0.23,-0.34,2.5,579269.3335,1933.550219,6.590116375,5.42,1.364339072,77609115.06,133.9776,中型_重構造_標準天井,success,11.21840811,fcstd_outputs/sample128.FCStd
9.89,14.06,2.91,2.69,434,363,395,355,205,10.2,0.3,0.52,-0.03,2.1,557676.2654,2006.562671,6.528475875,6.23,0.579634339,77546780.8,139.0534,中型_重構造_低天井,success,16.9831717,fcstd_outputs/sample129.FCStd
9.7,14.21,3.02,2.65,436,170,501,558,201,15.5,0.63,0.01,-0.19,1.6,449587.0798,1060.305961,6.504072695,6.7,0.880007683,61969734.32,137.837,中型_重構造_標準天井,success,15.82779193,fcstd_outputs/sample13.FCStd
14.47,13.52,3.07,3.61,492,208,591,338,185,8.2,0.13,0.26,0.22,3.1,562869.7039,2243.243719,6.932948641,6.43,0.588522505,110116676.8,195.6344,中型_重構造_標準天井,success,19.37876487,fcstd_outputs/sample130.FCStd
14.16,11.04,3.2,3.31,479,202,805,394,267,15.6,0.33,0.22,-0.13,2,589449.002,2102.70006,6.74655,5.69,1.083675201,92146440.46,156.3264,中型_重構造_標準天井,success,17.28003693,fcstd_outputs/sample131.FCStd
10.61,14.14,3.04,2.91,440,384,465,425,179,21.5,0.62,0.1,-0.2,2.2,477070.0548,1374.075564,6.184731,5.6,0.549254786,71572625.8,150.0254,中型_超重構造_標準天井,success,15.83297396,fcstd_outputs/sample132.FCStd
12.14,11.38,3.02,2.93,409,372,645,542,299,15.1,0.57,0.19,0.27,1.3,541650.1418,1774.520414,5.9034905,6.74,1.237085085,74830700.37,138.1532,中型_重構造_標準天井,success,13.12577891,fcstd_outputs/sample133.FCStd
12.01,9.58,3.55,2.66,272,389,535,417,334,-4.7,0.54,0.49,-0.39,3,541991.325,2055.786268,7.308134375,6.78,1.191677179,62359245.49,115.0558,中型_重構造_標準天井,success,12.80223513,fcstd_outputs/sample134.FCStd
9.52,8.31,3.96,3.62,253,186,560,360,178,-4.5,0.52,0.6,0.04,3,482016.7715,1750.746694,7.260692619,6.8,1.454860171,38132925.21,79.1112,小型_標準構造_高天井,success,7.57613802,fcstd_outputs/sample135.FCStd
9.16,9.72,3.95,3.37,422,305,314,596,315,-29.2,0.64,0.61,0.11,3.1,516026.0034,1713.841895,7.190115614,4.33,1.404989183,45944478.42,89.0352,小型_重構造_高天井,success,8.468684912,fcstd_outputs/sample136.FCStd
10.98,10.42,2.85,2.69,332,183,874,655,321,28.7,0.43,0.23,0.17,1.6,561927.537,1894.193844,5.7298875,4.88,3.181555808,64291028.6,114.4116,中型_重構造_低天井,success,10.34236407,fcstd_outputs/sample137.FCStd
14.98,12.76,2.83,3.75,318,312,406,723,152,-10.7,0.67,0.04,-0.02,1.6,435028.3471,978.1580829,6.658730515,7.18,0.557683015,83153406.41,191.1448,中型_重構造_標準天井,success,17.20111012,fcstd_outputs/sample138.FCStd
8.1,8.44,2.74,2.81,383,338,465,726,252,-13.9,0.21,0.37,-0.35,2.8,542769.4791,1786.029963,5.98805225,5.86,1.809677557,37105892.67,68.364,小型_重構造_低天井,success,6.417584896,fcstd_outputs/sample139.FCStd
12.2,8.59,3.49,2.76,453,184,795,552,337,-6.1,0.12,0.5,0.26,3.2,626702.8756,2359.532143,6.316810375,6.64,1.257708154,65677207.96,104.798,中型_重構造_標準天井,success,12.26918411,fcstd_outputs/sample14.FCStd
9.99,8.08,3.96,3.54,370,362,312,743,259,17.6,0.62,0.58,-0.3,3.1,602078.9967,2199.82863,7.793173436,5.49,1.57793053,48599334.95,80.7192,小型_重構造_高天井,success,8.030000687,fcstd_outputs/sample140.FCStd
10.48,12.16,3.88,3.77,486,282,692,672,346,3.2,0.66,0.51,0.22,3.4,619832.3252,2333.880754,7.796185436,6.93,1.051646156,78989448.06,127.4368,中型_重構造_高天井,success,13.65021682,fcstd_outputs/sample141.FCStd
13.02,8.31,2.79,3.39,184,206,699,668,315,3.3,0.16,0.2,-0.18,3,509642.2481,1696.535681,6.353764125,6.92,1.248119886,55141354.6,108.1962,中型_重構造_標準天井,success,13.6831789,fcstd_outputs/sample142.FCStd
13.49,9.77,3.12,2.93,262,352,565,418,345,-28.7,0.54,0.07,0.17,1.5,440217.1114,1077.350247,5.78955175,5.38,1.046968275,58019426.7,131.7973,中型_重構造_標準天井,success,14.94700599,fcstd_outputs/sample143.FCStd
14.18,8.19,3.61,3.53,448,235,741,398,197,3.6,0.48,0.56,-0.01,3,653691.0895,2692.253853,7.180403063,6.89,1.500385901,75915891.73,116.1342,中型_重構造_高天井,success,17.00007677,fcstd_outputs/sample144.FCStd
8.16,14.16,3.73,2.85,246,299,636,420,213,7.3,0.59,0.62,0.35,2.6,505258.1361,1677.164503,6.992275977,6.52,1.13083252,58380354.49,115.5456,中型_重構造_標準天井,success,16.25398302,fcstd_outputs/sample145.FCStd
9.49,12.8,2.65,3.44,476,248,410,709,161,-14.8,0.52,0.6,0.01,3.1,564535.1275,1913.933623,6.935079173,5.77,1.371626084,68575211.01,121.472,中型_重構造_標準天井,success,11.65863395,fcstd_outputs/sample146.FCStd
12.01,11.18,2.94,2.95,265,183,423,706,295,10.2,0.57,0.65,0.19,2.1,556839.3651,2073.742066,6.949172875,6.23,1.260008938,74767823.86,134.2718,中型_標準構造_標準天井,success,13.1382041,fcstd_outputs/sample147.FCStd
8.16,11.1,3.75,3.25,426,398,368,785,268,-28.8,0.14,0.15,0.39,1.1,494364.9367,1397.189665,5.00585875,5.37,1.671233506,44777598.5,90.576,小型_超重構造_標準天井,success,9.923889875,fcstd_outputs/sample148.FCStd
14.61,9.86,2.98,2.8,482,334,784,367,294,12.9,0.47,0.29,-0.29,1.8,634100.0141,2415.525326,6.4985395,6.46,1.094299307,91345023.9,144.0546,中型_超重構造_標準天井,success,17.434237,fcstd_outputs/sample149.FCStd
10.38,14.4,3.94,3.71,492,312,306,759,303,6.5,0.4,0.49,-0.3,1.1,592473.6361,2263.305581,7.295387,7.1,0.926650567,88558219.33,149.472,中型_超重構造_高天井,success,17.32709193,fcstd_outputs/sample15.FCStd
12.7,10.88,3.84,3.3,250,154,479,348,202,-17.2,0.15,0.04,0.1,1.4,404983.5173,900.524381,5.708754582,6.53,0.601876374,55959002.48,138.176,中型_標準構造_高天井,success,12.16927886,fcstd_outputs/sample150.FCStd
8.66,9.52,3.39,3.54,394,334,362,324,157,-25.4,0.69,0.6,0,1.4,498618.0286,1570.442534,6.40005725,5.21,1.388433409,41107665.85,82.4432,小型_重構造_標準天井,success,7.679362059,fcstd_outputs/sample151.FCStd
13.47,13.87,3.22,3.25,277,390,868,378,263,-5.7,0.66,0.24,0.21,2.9,532376.9392,1745.221016,7.463910302,6.68,0.832092028,99463397.93,186.8289,中型_重構造_標準天井,success,16.12965894,fcstd_outputs/sample152.FCStd
14.1,8.69,3.4,3.26,458,361,544,493,226,18.4,0.19,0.24,0.27,1.1,605507.3735,2196.72975,6.185134375,5.91,1.251546662,74192212.97,122.529,中型_超重構造_標準天井,success,16.93664479,fcstd_outputs/sample153.FCStd
12.85,10.18,3.62,2.97,460,273,304,651,158,-27.8,0.56,0.03,0.12,2.8,443245.3169,1112.185084,6.048507375,4.97,0.875170574,57982249.63,130.813,中型_重構造_標準天井,success,12.07611918,fcstd_outputs/sample154.FCStd
11.67,10.57,4.19,2.77,218,187,641,766,238,-27,0.23,0.52,0.06,3.1,534733.1451,1775.821816,6.388088729,4.55,1.272292147,65960349.44,123.3519,中型_重構造_標準天井,success,12.43406582,fcstd_outputs/sample155.FCStd
11.07,12.71,4.16,3.19,212,395,444,505,175,7.3,0.59,0.53,0.27,1.9,516753.3883,1867.058493,7.107246595,7.02,0.967269237,72707046.71,140.6997,中型_重構造_高天井,success,14.05553102,fcstd_outputs/sample156.FCStd
11.7,14.54,3.68,3.09,394,181,579,755,279,-5.8,0.21,0.33,0.23,3.1,579036.7834,2141.70356,7.105455301,6.67,0.934682299,98504579.52,170.118,中型_重構造_標準天井,success,19.19472098,fcstd_outputs/sample157.FCStd
8.65,10.13,3.27,3.06,375,388,625,686,267,-10.8,0.34,0.36,0.27,1.5,569117.4513,1844.599713,6.23236675,6.67,2.930646897,49868632.11,87.6245,小型_重構造_標準天井,success,8.528464079,fcstd_outputs/sample158.FCStd
8.43,14.72,3.11,2.66,385,272,667,510,243,-13.9,0.55,0.37,-0.4,1.6,540159.4056,1709.942702,6.525993375,6.36,1.325263984,67028164.58,124.0896,中型_重構造_標準天井,success,16.44110799,fcstd_outputs/sample159.FCStd
14.03,10.53,3.67,3.1,363,205,759,475,342,-18.5,0.7,0.27,0.24,3.1,576439.6182,1970.442611,8.151991,5.4,1.378708216,85160825.8,147.7359,中型_重構造_標準天井,success,17.0411787,fcstd_outputs/sample16.FCStd
9.05,12.35,2.8,3.14,182,158,455,724,227,2.3,0.49,0.06,0.17,3.4,400328.6765,937.864288,6.101112423,7.52,0.839302482,44743735.35,111.7675,中型_重構造_標準天井,success,11.20443606,fcstd_outputs/sample160.FCStd
11.88,12.17,3.2,2.74,457,349,722,772,256,-13.8,0.48,0.63,-0.36,2.6,614371.4796,2173.895796,6.7586525,5.87,1.812825164,88825582.77,144.5796,中型_超重構造_標準天井,success,13.45691991,fcstd_outputs/sample161.FCStd
13,14.68,2.68,3.42,195,221,371,509,185,-24.4,0.57,0.3,-0.32,2.9,482960.0981,1586.535799,5.978049851,4.81,0.551333539,92168105.13,190.84,中型_標準構造_標準天井,success,19.30135989,fcstd_outputs/sample162.FCStd
13.38,14.53,3.66,2.62,415,229,806,600,323,-25.5,0.1,0.51,0.01,2.7,640558.3283,2347.040521,5.8573665,4.7,1.83977522,124531841.4,194.4114,中型_重構造_標準天井,success,21.0914948,fcstd_outputs/sample163.FCStd
12.66,8.75,4.17,2.86,224,228,710,414,205,26.7,0.16,0.31,-0.31,3.3,570004.4846,2141.425799,6.182540962,4.58,1.205735252,63142246.78,110.775,中型_標準構造_高天井,success,12.94105697,fcstd_outputs/sample164.FCStd
11.09,12.88,2.86,3.21,259,305,401,495,155,16.5,0.43,0.54,-0.21,3.5,537632.9156,1961.627267,6.489544325,5.6,0.799427282,76795055.56,142.8392,中型_重構造_標準天井,success,13.38567805,fcstd_outputs/sample165.FCStd
13.41,9.81,4.1,2.74,329,321,523,413,228,2.5,0.43,0.63,-0.16,2.7,564763.3632,2226.076169,7.17654125,7,0.958587433,74295806.44,131.5521,中型_重構造_標準天井,success,15.47710204,fcstd_outputs/sample166.FCStd
9.13,14.61,3.49,3.03,295,305,514,443,256,-27.8,0.42,0.48,-0.35,2.7,489863.9947,1525.050883,6.54966475,4.47,1.106212581,65342615.35,133.3893,中型_重構造_標準天井,success,17.88470578,fcstd_outputs/sample167.FCStd
12.06,9.76,4.07,3.06,190,167,420,639,222,-4,0.15,0.13,-0.09,1.5,431041.7669,1198.584527,5.91054375,7.85,1.186473101,50736029.8,117.7056,中型_標準構造_高天井,success,12.08658791,fcstd_outputs/sample168.FCStd
8.19,8.14,2.68,2.74,317,154,769,309,271,-3.4,0.49,0.28,-0.1,2.1,479714.4472,1622.01262,6.208843563,6.91,2.061127116,31980931.17,66.6666,小型_標準構造_低天井,success,6.573885918,fcstd_outputs/sample169.FCStd
10.63,9.86,4.08,3.63,372,244,370,771,225,-22.7,0.26,0.57,-0.14,3.4,548245.8942,1821.560145,6.610337827,4.98,1.09083422,57462639.01,104.8118,中型_重構造_高天井,success,8.587593794,fcstd_outputs/sample17.FCStd
14.15,12.96,3.94,2.94,258,280,626,466,334,-15.8,0.3,0.55,-0.09,2.8,569937.6815,2073.554621,7.213251564,5.67,0.940387832,104517451.8,183.384,中型_重構造_標準天井,success,19.30996394,fcstd_outputs/sample170.FCStd
11.28,12.98,2.95,3.47,239,246,315,418,211,-14.2,0.49,0.23,-0.03,3.3,463490.9981,1413.625074,6.83467527,5.83,0.559276206,67861756.39,146.4144,中型_標準構造_標準天井,success,12.11192918,fcstd_outputs/sample171.FCStd
13.34,10.44,3,2.91,227,276,549,512,347,29.8,0.44,0.56,-0.01,1.6,620321.9021,2441.03673,6.16034875,4.77,1.526232124,86391983.18,139.2696,中型_重構造_標準天井,success,16.89304495,fcstd_outputs/sample172.FCStd
8.26,9.73,4.09,3.4,277,254,721,604,294,10.1,0.5,0.13,0.06,2.4,503777.91,1459.162461,6.479934375,6.74,2.260237537,40488529.87,80.3698,小型_重構造_高天井,success,7.858430386,fcstd_outputs/sample173.FCStd
14.9,8.42,3.45,3.51,267,223,776,767,231,-21,0.45,0.34,-0.16,3,592781.6299,2164.901216,6.7710925,5.15,1.181867669,74369197.73,125.458,中型_重構造_標準天井,success,17.19158912,fcstd_outputs/sample174.FCStd
10.07,11.81,3.12,3.48,449,242,444,703,163,-9.9,0.35,0.52,0.31,2.2,548547.2419,1959.784345,6.6801155,6.26,1.565644291,65236913.28,118.9267,中型_重構造_標準天井,success,10.59486938,fcstd_outputs/sample175.FCStd
14.52,9.25,3.68,3.65,244,185,365,484,319,-13.8,0.21,0.67,-0.37,2,556530.4293,2185.621627,6.870647625,5.87,0.927330504,74747601.96,134.31,中型_標準構造_高天井,success,17.36603904,fcstd_outputs/sample176.FCStd
14.91,11.39,2.87,3.45,409,172,892,697,348,-4.5,0.27,0.49,0.23,1.1,636300.9731,2549.959649,6.206208,7.3,1.955167542,108059749.1,169.8249,中型_超重構造_標準天井,success,18.49423385,fcstd_outputs/sample177.FCStd
11.5,13.32,4.08,2.91,479,380,871,402,271,-11.4,0.2,0.69,-0.24,2.6,626684.0663,2243.321003,6.681925,6.11,1.304018775,95995465.28,153.18,中型_超重構造_標準天井,success,15.78131986,fcstd_outputs/sample178.FCStd
10.48,14.65,3.12,2.93,368,194,853,456,257,-25.7,0.28,0.55,-0.17,1.2,548714.4809,1764.837978,5.6254855,5.18,2.361623332,84245231.69,153.532,中型_重構造_標準天井,success,16.86702895,fcstd_outputs/sample179.FCStd
14.46,10.36,2.68,2.75,399,319,808,675,183,-1.4,0.13,0.7,-0.29,3.2,662720.5379,2609.888908,6.0660595,6.11,1.307251865,99279247.82,149.8056,中型_重構造_低天井,success,17.61614895,fcstd_outputs/sample18.FCStd
10.16,9.99,3.63,3.41,476,300,623,696,282,12.4,0.17,0.37,-0.25,3.3,641890.1067,2364.852152,6.551820985,6.01,1.272685838,65150818.81,101.4984,中型_重構造_高天井,success,9.710285902,fcstd_outputs/sample180.FCStd
8.83,13.79,3.79,3.38,389,192,418,319,259,-19.4,0.6,0.24,0.31,2.8,483435.6752,1474.148062,7.457253418,5.31,0.622133172,58865883.39,121.7657,中型_重構造_高天井,success,13.83854294,fcstd_outputs/sample181.FCStd
10.67,8.69,3.65,2.68,394,224,771,448,215,15,0.22,0.63,-0.4,1.1,618597.1478,2180.736601,5.869265,6.25,2.148137653,57357750.32,92.7223,小型_重構造_標準天井,success,9.215476036,fcstd_outputs/sample182.FCStd
13.22,11.86,2.79,2.62,481,286,476,715,208,29.8,0.44,0.39,0.09,2.1,634883.8287,2453.961725,6.2599685,4.27,1.460116728,99542927.6,156.7892,中型_重構造_低天井,success,16.4886992,fcstd_outputs/sample183.FCStd
11.95,12.05,4.14,3.44,435,258,302,559,264,13,0.27,0.55,-0.04,3.3,591616.2314,2321.790048,7.18634143,5.95,0.697131384,85191258.28,143.9975,中型_重構造_高天井,success,14.3544879,fcstd_outputs/sample184.FCStd
13.05,13.11,3.83,3.06,417,323,393,787,199,-21.2,0.58,0.52,0.19,1.2,576930.6255,2042.398746,6.435037,5.63,1.070877041,98704464.53,171.0855,中型_重構造_標準天井,success,15.69273305,fcstd_outputs/sample185.FCStd
10.7,12.6,3.15,2.88,270,335,614,766,246,14.5,0.21,0.03,0.25,1.9,452628.348,1039.762246,5.58918125,6.8,1.399844779,61023353.87,134.82,中型_重構造_標準天井,success,11.90573287,fcstd_outputs/sample186.FCStd
14.22,11.69,3.33,3.77,491,342,739,325,153,-0.2,0.14,0.48,-0.38,1.3,626042.8594,2524.958916,6.2093265,7.73,0.889794587,104068231.4,166.2318,中型_超重構造_高天井,success,18.62980103,fcstd_outputs/sample187.FCStd
9.17,8.52,2.61,2.92,181,188,599,312,350,12.6,0.25,0.69,0.05,2.1,518162.4883,1901.566249,6.095312125,5.99,1.4593843,40483206.15,78.1284,小型_標準構造_低天井,success,7.608253002,fcstd_outputs/sample188.FCStd
12.42,8.71,3.93,3.1,432,358,846,438,323,-26,0.22,0.23,0.03,2.8,573047.8689,1850.662394,6.047287625,4.65,1.843367481,61991286.97,108.1782,中型_重構造_高天井,success,12.27902293,fcstd_outputs/sample189.FCStd
14.24,9.55,3.98,3.16,487,348,595,661,298,24.1,0.11,0.51,-0.22,3.2,701554.9661,2733.588038,6.378718875,4.84,1.294888014,95405862.95,135.992,中型_超重構造_高天井,success,17.56149793,fcstd_outputs/sample19.FCStd
12.12,12.52,3.48,2.86,329,176,399,417,287,10.9,0.42,0.3,0.06,1.3,539532.4325,1995.228889,6.655152,6.66,0.656766935,81869946.18,151.7424,中型_重構造_標準天井,success,13.46729779,fcstd_outputs/sample190.FCStd
12.19,9.34,3.47,2.8,451,153,685,422,263,9.8,0.16,0.35,0.06,1.4,600252.2136,2327.156089,5.770018625,6.77,1.496101732,68341475.68,113.8546,中型_重構造_標準天井,success,12.64520192,fcstd_outputs/sample191.FCStd
10.66,10.48,2.63,3.49,314,175,874,362,275,27.9,0.17,0.5,-0.02,2.4,597006.8502,2260.474412,5.54059825,4.46,2.186151918,66695694.88,111.7168,中型_重構造_標準天井,success,10.58016419,fcstd_outputs/sample192.FCStd
8.58,9.95,3.4,3.2,287,378,488,752,230,21.6,0.2,0.07,-0.16,2.9,494514.4525,1330.73493,5.387281429,5.59,1.455027622,42217193.33,85.371,小型_重構造_標準天井,success,7.49651289,fcstd_outputs/sample193.FCStd
9.69,11.16,3.27,2.74,291,216,560,539,289,-20.5,0.14,0.31,0.21,1.8,513321.9624,1630.218788,5.482356125,5.7,1.657789545,55510842.34,108.1404,中型_重構造_標準天井,success,10.32110381,fcstd_outputs/sample194.FCStd
14.02,10.33,3.87,2.93,393,187,437,537,340,-4.5,0.28,0.39,0.19,2,569785.3667,2374.723652,6.9390855,6.8,1.023077388,82520077.39,144.8266,中型_重構造_標準天井,success,18.27242494,fcstd_outputs/sample195.FCStd
11.44,13.05,3.5,3.53,314,159,601,673,197,-3,0.51,0.09,0.21,1.3,437904.5441,1187.970267,6.0708575,7.95,1.195181618,65375645.19,149.292,中型_重構造_高天井,success,14.34410977,fcstd_outputs/sample196.FCStd
12.16,9.03,4.18,2.78,240,324,672,785,308,2.3,0.38,0.56,0.37,2.2,586083.7099,2183.689707,6.858204375,7.02,2.319124927,64354804.55,109.8048,中型_重構造_標準天井,success,12.98714709,fcstd_outputs/sample197.FCStd
8.64,14.44,3.95,3.5,432,341,754,610,308,-2.5,0.16,0.26,0,2.1,584786.5517,2055.557822,6.5765275,7,1.971071026,72958905.85,124.7616,中型_重構造_高天井,success,16.8306098,fcstd_outputs/sample198.FCStd
13.91,13.78,3.29,3.45,431,308,611,571,230,13,0.51,0.55,-0.35,1.8,637935.5695,2490.145715,7.2818695,6.45,1.018434388,122279362.4,191.6798,中型_重構造_標準天井,success,17.66940689,fcstd_outputs/sample199.FCStd
