iteration,particle,pbest_fitness,pbest_cost,pbest_safety,pbest_co2,pbest_comfort,pbest_constructability,pbest_Lx,pbest_Ly,pbest_H1,pbest_H2,pbest_tf,pbest_tr,pbest_bc,pbest_hc,pbest_tw_ext,pbest_wall_tilt_angle,pbest_window_ratio_2f,pbest_roof_morph,pbest_roof_shift,pbest_balcony_depth,pbest_material_columns,pbest_material_floor1,pbest_material_floor2,pbest_material_roof,pbest_material_walls,pbest_material_balcony
0,1,841174.5222489446,841174.5222489446,3.5946435520387547,1355.9816628441852,5.129664879139939,5.7079743803318195,8.209454395403778,8.348746710090529,2.9665175873033585,2.6646201409630637,575,360,722,599,470,-20.420256196681805,0.3697733256874204,0.3337963946289553,-0.2548366474823889,1.004176383948057,0,0,1,0,0,0
0,2,1041372.062066595,965327.5544682584,1.2395549240166341,2000.0,6.436564037662619,4.8387894954902455,10.739348874644024,10.553413057221995,3.199991867965863,3.1340591423221413,472,517,625,419,451,-19.112105045097547,0.7561521475470648,0.9136459118642296,0.15807415740107933,1.4253172191772705,0,0,0,0,1,0
0,3,536379.0774914309,536379.0774914309,2.0671079369650767,1036.9366075152104,5.919138891899921,6.380368681567274,8.538910402546534,8.772707880169415,2.8307261125668886,2.811228518269806,418,459,652,465,313,-8.696313184327252,0.1710311238938898,0.4332003138771612,-0.4914387852271307,2.339502546516411,0,1,0,1,0,0
0,4,814694.069917892,679569.8774353117,0.6487580751741965,971.2004718767215,6.392803496957918,5.239317177804752,9.557037066474205,8.505879835335033,3.4774366095956557,2.9102620919923465,507,551,632,437,327,10.106828221952476,0.37963174849584025,0.8710772077623383,0.24016450882059592,3.4510978667256653,1,0,1,0,1,1
0,5,1067535.419402777,1067535.419402777,2.2585392027949545,1550.4636984074548,6.119648797855525,5.866638031675393,8.340400117638763,9.26811281096163,2.9070298209717964,2.9226091986900613,582,552,721,872,397,13.833619683246063,0.7215635539783513,0.256851738048816,0.3327770443873531,2.444860433547789,0,0,0,1,0,1
0,6,632556.5171414651,485706.7604381255,0.5315024329666046,511.7195276446075,6.354410678228346,7.183404075573902,10.001899190708375,11.317430940998422,2.757390810330945,2.9354182811516716,442,580,473,559,464,-10.665959244260982,0.8553768419062203,0.05160391767299877,-0.11158184484754419,1.2686647598733771,1,1,0,1,0,0
0,7,756900.3747183044,711524.9636431765,1.5462458892487212,907.3273139986305,6.146242728374288,5.125813865881583,11.598330107605719,11.550093638938396,3.2968677010452434,2.77322614508457,495,595,592,632,438,-26.241861341184165,0.30268955996687674,0.168020375038908,-0.08394328983406962,2.0624411896505643,1,0,0,0,1,1
0,8,828874.5565768535,717909.5223421379,0.8903496576528435,1015.6228147171207,5.2240191618630245,4.3157368039588535,9.425864969308607,9.972875241475121,2.775013923173021,2.7269780321878674,410,359,946,444,485,-29.342631960411467,0.6249707598800617,0.5469276311244807,-0.45815829988813306,3.35366693225748,1,1,0,0,0,0
0,9,1145016.5034251588,1064650.903482201,1.1963440005704231,1375.8793391369577,6.0098197181548505,5.73194153182849,11.448603461768736,10.207200843531181,2.6156803108791125,2.9125233561679993,422,403,962,463,466,15.180584681715104,0.5742585400607296,0.32486423653465846,-0.41722952738024044,2.671862885466797,1,0,0,0,1,0
0,10,795367.081386443,715339.896638504,1.1997281525206096,775.0943677107704,6.082183530135934,4.000686491608723,8.038165876021555,9.309527744923663,2.9606404186114625,3.072135395834905,554,364,439,955,358,-22.493135083912776,0.7340989708948403,0.7849880150324958,0.10469359080985174,2.918551673010249,1,1,0,0,1,0
0,11,670590.7824124882,599798.0890636314,1.2920730665114308,1080.0238940344273,6.654562590793641,6.163764927666611,8.82137014634304,9.43306867561851,3.3002185347138298,2.769979746580797,573,596,498,416,446,15.862350723333897,0.8207377947889655,0.6724659589033983,0.28009977335241,1.9138002467155926,0,1,1,0,1,0
0,12,911793.5147485376,827592.6236751073,1.157991089265697,1464.640875009236,6.950538077878054,4.507935072778867,11.069399757413375,11.349253248818439,3.335855171348976,3.1308782975147658,440,519,892,479,300,-17.42064927221132,0.8326110780493788,0.8076725484222771,-0.37035765645696395,3.117935159874251,0,0,0,1,1,0
0,13,782902.5601452314,712820.6100695226,1.2991804992429121,1250.537587443433,6.908749534253446,6.854162262878166,8.615829383437456,10.664292783956023,3.0948917046199664,3.138508336972993,366,495,514,742,463,-3.958377371218333,0.5278389748270771,0.3651275714829998,0.44483476006190203,3.156025193933158,0,0,1,0,0,1
0,14,702659.1309092742,639759.8630476388,1.3710073213836453,451.710156789504,5.738336145825762,4.699767961991997,9.459163382950623,9.683206400447823,2.836874382609911,2.846584651669508,396,482,796,730,498,25.502320380080036,0.8122248088142067,0.6039072402510415,-0.3559740966577494,2.8972290418449007,1,1,0,1,1,1
0,15,847669.3257662846,841857.3617033211,1.9418803593703653,1191.8800967949778,6.722668864372471,6.487183073354972,8.291349537120128,10.295271348467306,3.4777710595892093,2.903888164518612,528,541,693,715,346,7.628169266450286,0.5201730757804534,0.3352479809172707,0.43777706924618287,2.5790735342385984,0,1,1,1,0,0
1,1,841174.5222489446,878888.8125315259,2.202145412043266,1791.073055031409,5.544473694481484,6.121436527027019,8.209454395403778,8.348746710090529,2.9665175873033585,2.6646201409630637,575,360,722,599,470,-20.420256196681805,0.3697733256874204,0.3337963946289553,-0.2548366474823889,1.004176383948057,0,0,1,0,0,0
