iteration,particle,fitness,cost,safety,co2,comfort,constructability,Lx,Ly,H1,H2,tf,tr,bc,hc,tw_ext,wall_tilt_angle,window_ratio_2f,roof_morph,roof_shift,balcony_depth,material_columns,material_floor1,material_floor2,material_roof,material_walls,material_balcony
0,1,841174.5222489446,841174.5222489446,3.6572504990501793,1355.9816628441852,5.129664879139939,5.7079743803318195,8.209454395403778,8.348746710090529,2.9665175873033585,2.6646201409630637,575,360,722,599,470,-20.420256196681805,0.3697733256874204,0.3337963946289553,-0.2548366474823889,1.004176383948057,0,0,1,0,0,0
0,2,1041307.7687494975,965327.5544682584,1.2401978571876093,2000.0,6.436564037662619,4.8387894954902455,10.739348874644024,10.553413057221995,3.199991867965863,3.1340591423221413,472,517,625,419,451,-19.112105045097547,0.7561521475470648,0.9136459118642296,0.15807415740107933,1.4253172191772705,0,0,0,0,1,0
0,3,536379.0774914309,536379.0774914309,2.0609695238317176,1036.9366075152104,5.919138891899921,6.380368681567274,8.538910402546534,8.772707880169415,2.8307261125668886,2.811228518269806,418,459,652,465,313,-8.696313184327252,0.1710311238938898,0.4332003138771612,-0.4914387852271307,2.339502546516411,0,1,0,1,0,0
0,4,815311.1167636825,679569.8774353117,0.6425876067162922,971.2004718767215,6.391708739183687,5.239317177804752,9.557037066474205,8.505879835335033,3.4774366095956557,2.9102620919923465,507,551,632,437,327,10.106828221952476,0.37963174849584025,0.8710772077623383,0.24016450882059592,3.4510978667256653,1,0,1,0,1,1
0,5,1067535.419402777,1067535.419402777,2.0823400079959438,1550.4636984074548,6.119648797855525,5.866638031675393,8.340400117638763,9.26811281096163,2.9070298209717964,2.9226091986900613,582,552,721,872,397,13.833619683246063,0.7215635539783513,0.256851738048816,0.3327770443873531,2.444860433547789,0,0,0,1,0,1
0,6,631783.4984947552,485706.7604381255,0.5392326194337027,511.7195276446075,6.356104796069072,7.183404075573902,10.001899190708375,11.317430940998422,2.757390810330945,2.9354182811516716,442,580,473,559,464,-10.665959244260982,0.8553768419062203,0.05160391767299877,-0.11158184484754419,1.2686647598733771,1,1,0,1,0,0
0,7,756640.1644356999,711524.9636431765,1.5488479920747655,907.3273139986305,6.146449231456472,5.125813865881583,11.598330107605719,11.550093638938396,3.2968677010452434,2.77322614508457,495,595,592,632,438,-26.241861341184165,0.30268955996687674,0.168020375038908,-0.08394328983406962,2.0624411896505643,1,0,0,0,1,1
0,8,829066.8027402172,717909.5223421379,0.8884271960192074,1015.6228147171207,5.223836071218027,4.3157368039588535,9.425864969308607,9.972875241475121,2.775013923173021,2.7269780321878674,410,359,946,444,485,-29.342631960411467,0.6249707598800617,0.5469276311244807,-0.45815829988813306,3.35366693225748,1,1,0,0,0,0
0,9,1146319.2821376175,1064650.903482201,1.1833162134458353,1375.8793391369577,6.0078368926937555,5.73194153182849,11.448603461768736,10.207200843531181,2.6156803108791125,2.9125233561679993,422,403,962,463,466,15.180584681715104,0.5742585400607296,0.32486423653465846,-0.41722952738024044,2.671862885466797,1,0,0,0,1,0
0,10,795556.2519919749,715339.896638504,1.1978364464652915,775.0943677107704,6.081837058303538,4.000686491608723,8.038165876021555,9.309527744923663,2.9606404186114625,3.072135395834905,554,364,439,955,358,-22.493135083912776,0.7340989708948403,0.7849880150324958,0.10469359080985174,2.918551673010249,1,1,0,0,1,0
